Month,Product_ID,Sales_Speed,Stock_Level,Category,Lead_Time,Price
2022-01,P0006,366,483,Electronics,17,41.35
2022-01,P0007,408,136,Electronics,17,67.26
2022-01,P0011,359,427,Electronics,17,54.84
2022-01,P0012,388,161,Electronics,17,14.25
2022-01,P0014,328,387,Electronics,17,79.03
2022-01,P0020,389,231,Electronics,17,95.85
2022-02,P0011,365,397,Electronics,17,25.64
2022-02,P0012,348,146,Electronics,17,59.12
2022-02,P0013,355,391,Electronics,17,75.51
2022-02,P0015,379,87,Electronics,17,34.19
2022-02,P0017,379,284,Electronics,17,41.12
2022-03,P0004,395,297,Electronics,17,28.43
2022-03,P0008,407,229,Electronics,17,87.52
2022-03,P0012,377,235,Electronics,17,72.66
2022-03,P0013,416,77,Electronics,17,80.51
2022-03,P0018,370,338,Electronics,17,98
2022-04,P0001,389,331,Electronics,17,14.05
2022-04,P0004,342,252,Electronics,17,30.71
2022-04,P0006,354,151,Electronics,17,85.56
2022-04,P0008,390,55,Electronics,17,35.22
2022-04,P0011,376,299,Electronics,17,44.03
2022-05,P0002,417,107,Electronics,17,71.52
2022-05,P0009,355,65,Electronics,17,19.9
2022-05,P0014,348,324,Electronics,17,61.19
2022-05,P0018,373,85,Electronics,17,19.86
2022-05,P0020,389,349,Electronics,17,88.65
2022-06,P0010,379,234,Electronics,17,85.97
2022-06,P0011,394,405,Electronics,17,83.48
2022-06,P0017,346,190,Electronics,17,76.09
2022-07,P0004,383,161,Electronics,17,67.25
2022-07,P0005,418,238,Electronics,17,15.07
2022-07,P0007,388,271,Electronics,17,51.75
2022-07,P0008,392,344,Electronics,17,56.41
2022-07,P0009,374,188,Electronics,17,11.71
2022-07,P0013,400,284,Electronics,17,25.08
2022-09,P0002,368,72,Electronics,17,73.01
2022-09,P0004,323,342,Electronics,17,34.11
2022-09,P0010,349,187,Electronics,17,86.01
2022-09,P0020,382,84,Electronics,17,84.12
2022-10,P0007,362,171,Electronics,17,24.73
2022-10,P0010,371,86,Electronics,17,57.39
2022-11,P0004,384,413,Electronics,17,56.52
2022-11,P0007,370,332,Electronics,17,68.08
2022-11,P0011,365,186,Electronics,17,90.19
2022-11,P0012,390,57,Electronics,17,93.66
2022-11,P0014,378,291,Electronics,17,69.57
2022-11,P0016,382,287,Electronics,17,18.68
2022-12,P0001,364,80,Electronics,17,87.34
2022-12,P0007,380,362,Electronics,17,75.88
2022-12,P0013,434,471,Electronics,17,99.3
2023-01,P0002,380,204,Electronics,17,67.2
2023-01,P0006,370,398,Electronics,17,59.6
2023-01,P0008,416,186,Electronics,17,83.43
2023-01,P0014,356,163,Electronics,17,63.77
2023-01,P0020,402,322,Electronics,17,44.65
2023-02,P0004,315,384,Electronics,17,58.12
2023-02,P0007,348,145,Electronics,17,68.23
2023-02,P0008,356,78,Electronics,17,83.77
2023-02,P0009,347,491,Electronics,17,64.38
2023-02,P0010,343,226,Electronics,17,88.77
2023-02,P0015,305,89,Electronics,17,59.28
2023-03,P0006,396,123,Electronics,17,72.04
2023-03,P0011,354,327,Electronics,17,83.24
2023-03,P0018,384,95,Electronics,17,52.94
2023-04,P0001,412,80,Electronics,17,27.83
2023-04,P0002,378,443,Electronics,17,63.61
2023-04,P0015,407,74,Electronics,17,58.72
2023-04,P0017,382,163,Electronics,17,76.62
2023-05,P0001,363,484,Electronics,17,23.87
2023-05,P0004,379,460,Electronics,17,74.79
2023-05,P0007,368,487,Electronics,17,52.8
2023-05,P0008,428,296,Electronics,17,65.42
2023-05,P0012,368,384,Electronics,17,14.18
2023-05,P0015,425,200,Electronics,17,99.06
2023-05,P0020,359,340,Electronics,17,83.92
2023-06,P0002,360,131,Electronics,17,72.79
2023-06,P0015,361,50,Electronics,17,99.78
2023-06,P0016,375,101,Electronics,17,73.61
2023-07,P0002,378,339,Electronics,17,53.61
2023-07,P0012,388,287,Electronics,17,88.18
2023-07,P0019,390,72,Electronics,17,60.62
2023-08,P0006,381,226,Electronics,17,38.58
2023-08,P0007,357,65,Electronics,17,94.49
2023-08,P0011,390,472,Electronics,17,99.32
2023-08,P0020,382,181,Electronics,17,81.04
2023-09,P0005,376,155,Electronics,17,71.76
2023-09,P0016,301,389,Electronics,17,23.5
2023-10,P0002,437,120,Electronics,17,98.37
2023-10,P0003,354,267,Electronics,17,32.63
2023-11,P0019,377,364,Electronics,17,95.1
2023-12,P0009,413,198,Electronics,17,33.63
2023-12,P0015,402,275,Electronics,17,35.61
2023-12,P0016,352,332,Electronics,17,88.15
2024-01,P0001,11,138,Electronics,17,42.34
2024-01,P0007,13,53,Electronics,17,27.45
2024-01,P0013,16,472,Electronics,17,90.89
2024-01,P0014,11,342,Electronics,17,73.4
2024-01,P0018,11,151,Electronics,17,29.45
2024-01,P0019,12,409,Electronics,17,62
